Zip Code,title,disaster number,Declaration Date,County,t+1,t+2,t+3,t+4,t+5,t+6,t+1p,t+2p,t+3p,t+4p,t+5p,t+6p
10025,SNOW,3184,2003-03,New York County,0.019195189639222843,0.02813705468572736,0.03818141690576038,0.04400510204081631,0.04174302586031353,0.03283815480844399,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10023,SNOW,3184,2003-03,New York County,0.014114030184460669,0.015708970649028542,0.015873015873015817,0.014022435897435905,0.011589622020281798,0.009243588074469455,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10016,SNOW,3184,2003-03,New York County,0.012372013651877234,0.01327433628318575,0.012684549802453704,0.01108829568788505,0.008935824532900094,0.00744766505636063,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10029,SNOW,3184,2003-03,New York County,0.015025489669975745,0.015331747290510124,0.01588128091642793,0.016401845207585808,0.01613716591023695,0.013647642679900821,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10011,SNOW,3184,2003-03,New York County,0.012217312191317829,0.012583461736004107,0.011159015977681984,0.007649862051667844,0.0037336652146857663,0.0014879107253564785,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10128,SNOW,3184,2003-03,New York County,-0.014547413793103425,-0.023510114816839844,-0.028555431131018993,-0.027089337175792545,-0.02033965244865721,-0.010884902237452088,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10003,SNOW,3184,2003-03,New York County,0.012716601453325982,0.013936801435076474,0.01279259662493204,0.009271701155603385,0.004659832246039164,0.0011926848661543143,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10019,SNOW,3184,2003-03,New York County,0.010427350427350436,0.011334799526306892,0.011375041820006704,0.01075090969235859,0.009491081656030076,0.00745663802885388,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10028,SNOW,3184,2003-03,New York County,0.008257827732538027,0.006256398589466583,0.003617454216594985,0.0010137418337463624,-0.00033757173399351364,-0.0005628095452498981,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10027,SNOW,3184,2003-03,New York County,0.02564102564102555,0.04266666666666663,0.057864450127877325,0.06195225143547889,0.0506545247581105,0.03006500541711809,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10021,SNOW,3184,2003-03,New York County,0.009636095680761736,0.007073882775656903,0.0020069126992976467,-0.003449426950038914,-0.006029477445288034,-0.005167378117276964,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10014,SNOW,3184,2003-03,New York County,0.012328609286784252,0.01206464830412024,0.009446693657219951,0.003787878787878896,-0.0019977802441731862,-0.0050044483985765,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10036,SNOW,3184,2003-03,New York County,0.006708907938874464,0.00499814883376537,0.0014735678762203275,-0.0031267242964870823,-0.0073800738007380184,-0.009665427509293669,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10010,SNOW,3184,2003-03,New York County,0.01130240504665525,0.011695906432748648,0.010661528580603765,0.008007117437722311,0.00542176270331618,0.003887634813142693,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10022,SNOW,3184,2003-03,New York County,0.01044915782907041,0.010649791634511407,0.008704948075748398,0.004239212717638052,-0.00015076134479119485,-0.002563329312424645,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
11106,SNOW,3184,2003-03,New York County,0.044830741079597385,0.03458844133099825,0.023698688108336752,0.013642000826787905,0.004078303425774976,-0.0028432168968318683,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10065,SNOW,3184,2003-03,New York County,0.007915245981490404,0.003624501631025678,-0.00325027085590468,-0.010024154589372005,-0.012321581066243705,-0.009757905138339962,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10001,SNOW,3184,2003-03,New York County,0.01480637813211838,0.019865319865319808,0.025090789039286854,0.026301663982823298,0.022384937238493663,0.01544915080826681,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10026,SNOW,3184,2003-03,New York County,0.01843025103272966,0.029953198127925074,0.04634959103302028,0.05906195715112905,0.0590486604702023,0.046721734641197665,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
11231,SNOW,3184,2003-03,New York County,0.03988781551885312,0.049145939466586734,0.05512710654098818,0.05630752571737953,0.0533059969246541,0.048661800486617945,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
10035,SNOW,3184,2003-03,New York County,0.018094089264173663,0.023696682464454888,0.0298032407407407,0.03287440292216925,0.030195865070729026,0.0242936361235806,0.006169467242770508,0.006403257300386761,0.006770820912723089,0.007103062354300152,0.007217076211551114,0.007284178240425981
