Zip Code,title,disaster number,Declaration Date,County,t+1,t+2,t+3,t+4,t+5,t+6,t+1p,t+2p,t+3p,t+4p,t+5p,t+6p
60657,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.01090397467463955,0.015309672929714637,0.014050719671007572,0.01182832037850634,0.009352037408149716,0.004301786896095283,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60614,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.017091454272863515,0.02329009433962259,0.01959089599539033,0.015258547612319928,0.008906206512663495,0.003586206896551758,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60640,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.015821058374249963,0.016648764769065627,0.015319598520866284,0.013527575442247695,0.013347022587268942,0.006585612968591725,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60647,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.022958223560406443,0.02133922001471666,0.008645533141210304,0.003214285714285614,0.004627981488074084,0.004961020552799456,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60618,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.028159098908834945,0.020883259157822742,0.008048289738430636,0.004990019960079861,0.005627275736511006,0.00394996708360762,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60613,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.022739018087855282,0.027791814047498642,0.017699115044247815,0.008695652173912993,0.005747126436781658,0.0019047619047618536,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60625,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.017740429505135324,0.01513761467889907,0.010393131495707086,0.010286225402504456,0.010181496237273048,0.009640666082383786,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60629,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.015638575152041808,0.01368691189050475,0.0033755274261604296,0.0,-0.001682085786375076,-0.005054759898904804,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60610,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.013242375601926204,0.01544554455445546,0.013260530421216776,0.012317167051578036,0.0,-0.011787072243345964,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60619,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,-0.01908396946564883,-0.007782101167315147,-0.02647058823529413,-0.03021148036253773,-0.02180685358255452,-0.0010615711252653923,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60611,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.016608112424145727,0.016965127238454336,0.010503552672227471,0.009171507184347227,0.008179339594062363,0.003305288461538547,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60620,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,-0.010367577756833168,-0.0009523809523809268,-0.003813155386081957,-0.016267942583732098,-0.035019455252918275,-0.03931451612903225,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60634,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.01440443213296394,0.017476788640087282,0.019323671497584627,0.021063717746182098,0.01908200103145941,0.011133603238866474,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60016,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.011968085106383029,0.014454664914586026,0.008419689119171014,0.008349389852279955,0.009554140127388644,0.007570977917981114,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60626,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.02087475149105367,0.0331061343719572,0.03204524033930256,0.028310502283104944,0.0248667850799289,0.02339688041594456,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
60616,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",4116,2013-05,Cook County,0.023546371936568944,0.017840375586854362,0.017988929889298788,0.0231082917988219,0.015500442869796238,0.003052769297863023,0.0055975254889776465,0.0057640165855544715,0.00542178533180865,0.004682701579348993,0.004148252316559386,0.004098652297543332
