Disaster Number,Household Program Declared,Individual Assistance Program Declared,Public Assistance Program Declared,Hazard Mitigation Program Declared,State,Declaration Date,Fiscal Year Declared,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Declared County Area,Place Code,CountyName
1084,0,0,1,0,WV,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,1997-01,Boone (County),99005.0,Boone  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Cecil (County),99015.0,Cecil  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Albany (County),99001.0,Albany  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Kings (County),99047.0,Kings  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Harford (County),99025.0,Harford  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Queen Anne's (County),99035.0,Queen Anne's  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,New York (County),99061.0,New York  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Caroline (County),99011.0,Caroline  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Frederick (County),99021.0,Frederick  County
1083,0,0,1,0,NY,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2001-08,Delaware (County),99025.0,Delaware  County
1081,0,0,1,0,MD,1996-01,1996,DR,Snow,BLIZZARD OF 96 (SEVERE SNOW STORM),1996-01,1996-01,2003-07,Talbot (County),99041.0,Talbot  County
